 0.483457  0.734119  0.133576  0.788801 
 0.738373  0.097543  0.991727  0.836931 
 0.896537  0.032418  0.706699  0.605305 
 0.434032  0.395958  0.515866  0.660455 
 0.435627  0.414772  0.329406  0.109228 
 0.386042  0.156239  0.919302  0.915329 
 0.504197  0.132842  0.337951  0.646376 
 0.973900  0.837351  0.458601  0.946320 
 0.437205  0.410402  0.160465  0.878553 
 0.219619  0.335272  0.149059  0.348636 
 0.965038  0.092375  0.311408  0.098363 
 0.781136  0.305538  0.421082  0.189137 
 0.570403  0.604837  0.835094  0.235082 
 0.211147  0.429756  0.109028  0.202678 
 0.132351  0.793529  0.539564  0.950274 
 0.539987  0.657081  0.487043  0.642064 
 0.108969  0.984006  0.220268  0.222347 
 0.745025  0.723101  0.014730  0.539648 
 0.601260  0.516919  0.287919  0.522724 
 0.097831  0.780343  0.337437  0.127644 
 0.497979  0.115019  0.057742  0.300906 
 0.162493  0.221162  0.637222  0.701531 
 0.758110  0.548709  0.135950  0.321992 
 0.097212  0.000317  0.343011  0.294943 
 0.544171  0.339826  0.441754  0.460403 
 0.005665  0.362326  0.307386  0.184906 
 0.007479  0.348294  0.371776  0.007600 
 0.037259  0.934430  0.664353  0.016731 
 0.302514  0.432785  0.718677  0.620116 
 0.437068  0.980923  0.180391  0.535247 
 0.912556  0.972485  0.606976  0.021130 
 0.844902  0.773165  0.016271  0.045255 
 0.912890  0.909379  0.583969  0.031119 
 0.370697  0.979324  0.998859  0.013488 
 0.242088  0.516141  0.042132  0.504478 
 0.241456  0.717527  0.410561  0.605485 
 0.482209  0.628247  0.970377  0.258727 
 0.232661  0.071222  0.386924  0.474775 
 0.558453  0.694177  0.695846  0.530960 
 0.063071  0.098499  0.742610  0.838662 
 0.697527  0.212595  0.502678  0.806929 
 0.242962  0.733321  0.090259  0.157528 
 0.561879  0.337889  0.580182  0.590538 
 0.410653  0.946917  0.049760  0.523971 
 0.341627  0.165722  0.075944  0.125317 
 0.282984  0.120489  0.530495  0.579079 
 0.644142  0.202518  0.616314  0.501098 
 0.351688  0.741599  0.966798  0.331317 
 0.473104  0.098500  0.533338  0.472473 
 0.409827  0.480788  0.662514  0.769233 
 0.401507  0.997180  0.465332  0.725756 
 0.070014  0.584593  0.400125  0.696482 
 0.269055  0.300445  0.659426  0.710995 
 0.006834  0.611094  0.349858  0.603169 
 0.018478  0.524170  0.816096  0.291566 
 0.356520  0.547907  0.230871  0.846369 
 0.665226  0.026196  0.111174  0.849422 
 0.586062  0.269918  0.338488  0.097186 
 0.745985  0.056835  0.609387  0.870596 
 0.434191  0.297864  0.676838  0.985477 
 0.584040  0.969201  0.859956  0.687351 
 0.625539  0.180102  0.132277  0.963833 
 0.051937  0.337231  0.424385  0.700390 
 0.907829  0.772118  0.997407  0.390221 
 0.657124  0.362246  0.545256  0.110020 
 0.024426  0.071254  0.821660  0.805798 
 0.216091  0.435137  0.943913  0.172323 
 0.221963  0.467349  0.535729  0.013212 
 0.251627  0.298709  0.149452  0.923199 
 0.492333  0.616048  0.635101  0.501891 
 0.983117  0.949786  0.520810  0.804595 
 0.027278  0.154420  0.933073  0.133094 
 0.777457  0.238536  0.154003  0.402034 
 0.065333  0.715708  0.770675  0.151124 
 0.425892  0.471710  0.373122  0.776859 
 0.092429  0.683786  0.030502  0.886723 
 0.828102  0.681256  0.614873  0.113737 
 0.191381  0.580216  0.525032  0.647889 
 0.139557  0.005553  0.390860  0.249199 
 0.674972  0.071889  0.164274  0.312345 
 0.678699  0.229451  0.703324  0.340556 
 0.590899  0.619254  0.388731  0.878580 
 0.329756  0.651782  0.336289  0.100146 
 0.494241  0.224495  0.900748  0.078966 
 0.909572  0.360264  0.125074  0.035199 
 0.627250  0.999487  0.183493  0.798747 
 0.900228  0.999037  0.141855  0.281679 
 0.280277  0.975599  0.322062  0.053092 
 0.898120  0.943434  0.500483  0.526170 
 0.009143  0.371102  0.278553  0.840907 
 0.143053  0.894525  0.739011  0.811772 
 0.953175  0.232630  0.027533  0.348095 
 0.931479  0.308910  0.159910  0.302053 
 0.600225  0.208559  0.777085  0.078656 
 0.148469  0.987647  0.127715  0.551729 
 0.501447  0.060600  0.333867  0.495022 
 0.999546  0.805634  0.144741  0.340108 
 0.829363  0.861605  0.839207  0.404720 
 0.409955  0.737576  0.224628  0.205354 
 0.419378  0.890599  0.446398  0.639161 
